Goals,Google,TPR,FNR,FPR,F1,Mapbox,TPR,FNR,FPR,F1,LLM,TPR,FNR,FPR,F1
2, ,0.96,0.04,0.04,0.96, ,0.8,0.2,0.2,0.8, ,0.48,0.52,0.52,0.46
5, ,0.72,0.28,0.28,0.51, ,0.52,0.48,0.48,0.22, ,0.2,0.8,0.8,0.02
10, ,0.68,0.32,0.32,0.3, ,0.48,0.52,0.52,0.09, ,0.28,0.72,0.72,0.02
15, ,0.6,0.4,0.4,0.17, ,0.4,0.6,0.6,0.04, ,0.2,0.8,0.8,0.01
