,No. Problem,TPR,FPR,FNR,F1-score
LLM,100.0,0.29,0.7642857142857142,0.71,0.08734939759036144
Mapbox,100.0,0.55,0.5428571428571428,0.45,0.13908045977011496
Google,100.0,0.74,0.3442857142857143,0.26,0.35662650602409635
