,No. Problem,TPR,FPR,FNR,F1-score
LLM,100.0,0.24,0.8614285714285714,0.76,0.06602475928473177
Mapbox,100.0,0.8,0.23,0.2,0.46920821114369504
Google,100.0,0.87,0.17714285714285713,0.13,0.5594855305466238
