ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
5.10.5,,6.95,5.77,,,,,27.52,11.13,9.42,5.90,,4.31,7.33,5.24,16.44,,
5.10.10,,6.35,3.58,,,,,37.58,9.95,7.01,5.47,,3.96,6.65,4.72,14.73,,
5.10.15,,7.60,4.33,,,,,21.25,11.75,12.75,6.61,,4.76,7.93,5.60,17.42,,
5.15.1,,6.60,5.38,,6.73,6.15,2.59,7.30,5.93,8.58,7.49,8.41,6.64,7.35,2.41,9.63,8.80,
5.15.3,,6.05,3.44,,5.85,6.75,3.03,10.21,5.85,10.53,3.56,7.57,5.24,8.10,2.93,13.25,7.63,
5.15.5,,4.90,4.07,,7.50,4.55,3.11,19.40,7.85,6.64,4.16,7.61,3.04,5.17,3.70,11.59,6.71,
5.15.10,,4.62,2.60,,8.81,4.32,2.94,27.34,7.24,5.10,3.98,7.05,2.88,4.84,3.43,10.72,4.12,
5.15.15,,5.03,2.86,,7.50,4.73,3.21,14.06,7.78,8.44,4.38,7.59,3.15,5.25,3.71,11.53,10.79,
4.2.1,,,10.96,,,,,,,89.04,,,,,,,,
4.2.3,,,31.15,,,,,,,68.85,,,,,,,,
4.2.5,,,17.00,,,,,,,83.00,,,,,,,,
4.2.10,,,20.49,,,,,,,79.51,,,,,,,,
4.2.15,,,39.56,,,,,,,60.44,,,,,,,,
4.5.1,,,6.42,,,,6.49,12.18,,52.18,,,,,,22.73,,
4.5.3,,,14.83,,,,5.32,19.38,,32.78,,,,,,27.68,,
4.5.5,,,8.83,,,,8.93,16.79,,43.12,,,,,,22.32,,
4.5.10,,,8.47,,,,8.55,20.20,,32.86,,,,,,29.92,,
4.5.15,,,16.72,,,,8.44,23.99,,25.54,,,,,,25.31,,
2.2.1,,,,29.76,,,,,,,,,,,,70.24,,
2.2.3,,,,27.03,,,,,,,,,,,,72.97,,
2.2.5,,,,40.37,,,,,,,,,,,,59.63,,
2.2.10,,,,33.09,,,,,,,,,,,,66.91,,
2.2.15,,,,44.53,,,,,,,,,,,,55.47,,
2.5.1,,,,13.56,,,,21.77,,,,,16.67,,,32.00,16.00,
2.5.3,,,,12.77,,,,22.02,,,,,15.69,,,34.46,15.06,
2.5.5,,,,20.85,,,,18.09,,,,,15.70,,,30.80,14.56,
2.5.10,,,,15.11,,,,27.01,,,,,15.69,,,30.55,11.65,
2.5.15,,,,20.20,,,,21.62,,,,,15.83,,,25.17,17.18,
2.10.1,,,,8.19,,,10.32,13.15,7.21,,,10.22,10.06,6.90,4.95,19.32,9.66,
2.10.3,,,,7.71,,,9.72,13.31,9.06,,,9.63,9.48,6.50,4.67,20.82,9.10,
2.10.5,,,,11.83,,,9.12,10.27,8.42,,,11.14,8.91,8.08,6.49,17.48,8.26,
2.10.10,,,,8.82,,,9.36,15.77,7.96,,,11.16,9.16,7.68,5.44,17.84,6.80,
2.10.15,,,,11.21,,,11.21,11.99,10.14,,,10.65,8.78,7.34,5.19,13.96,9.53,
3.5.1,,,,,,16.71,12.67,,,,,26.56,,,11.76,,32.29,
3.5.3,,,,,,14.49,16.10,,,,,22.65,,,14.87,,31.89,
3.5.5,,,,,,8.30,14.11,,,,,47.83,,,8.25,,21.51,
3.5.10,,,,,,10.52,13.07,,,,,39.10,,,19.37,,17.94,
3.5.15,,,,,,11.69,14.38,,,,,33.00,,,16.63,,24.30,
5.2.1,,,,,,,,45.98,,54.02,,,,,,,,
5.2.3,,,,,,,,49.21,,50.79,,,,,,,,
5.2.5,,,,,,,,74.50,,25.50,,,,,,,,
5.2.10,,,,,,,,84.27,,15.73,,,,,,,,
