ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
5.10.5,,5.82,10.57,,,,,11.02,13.67,9.15,9.32,,10.46,20.83,4.79,4.38,,
5.10.10,,12.21,12.21,,,,,10.50,13.02,9.39,5.75,,4.30,19.85,5.37,7.40,,
5.10.15,,11.89,6.39,,,,,10.23,12.69,7.86,8.65,,5.63,19.34,10.12,7.21,,
5.15.1,,12.83,7.70,,7.00,7.25,7.16,3.44,3.24,5.92,5.60,6.55,6.29,12.52,3.26,4.67,6.55,
5.15.3,,4.40,8.30,,7.55,7.82,7.72,7.14,8.86,6.39,6.04,3.36,3.89,13.50,7.07,2.14,5.83,
5.15.5,,8.27,3.78,,2.92,7.79,7.70,7.12,8.83,6.36,2.80,7.04,6.75,13.45,5.86,4.28,7.04,
5.15.10,,8.10,8.10,,3.64,7.62,3.50,6.96,8.63,3.11,5.89,6.89,6.61,13.16,6.00,4.91,6.89,
5.15.15,,2.61,1.47,,2.38,1.43,2.43,2.25,2.79,2.01,0.96,1.15,2.13,4.25,2.22,69.69,2.22,
4.2.1,,,56.00,,,,,,,44.00,,,,,,,,
4.2.3,,,56.00,,,,,,,44.00,,,,,,,,
4.2.5,,,37.21,,,,,,,62.79,,,,,,,,
4.2.10,,,73.65,,,,,,,26.35,,,,,,,,
4.2.15,,,56.00,,,,,,,44.00,,,,,,,,
4.5.1,,,14.34,,,,25.03,23.29,,21.00,,,,,,16.34,,
4.5.3,,,26.82,,,,25.11,16.51,,21.07,,,,,,10.49,,
4.5.5,,,27.47,,,,25.72,22.18,,13.66,,,,,,10.96,,
4.5.10,,,16.59,,,,31.42,17.48,,26.37,,,,,,8.14,,
4.5.15,,,28.64,,,,26.81,14.00,,13.06,,,,,,17.50,,
2.2.1,,,,71.03,,,,,,,,,,,,28.97,,
2.2.3,,,,63.95,,,,,,,,,,,,36.05,,
2.2.5,,,,55.71,,,,,,,,,,,,44.29,,
