ID,"Nottingham, UK","Derby, UK","Northampton, UK","Reading, UK","Birmingham, UK","Sheffield, UK","Lincoln, UK","Exeter, UK","Oxford, UK","Brighton, UK","Noewich, UK","Liverpool, UK","Edinburgh, UK","Manchester, UK","Glasgow, UK","Bristol, UK","London, UK","Cambridge, UK"
5.15.10,,5.23,3.99,,6.38,6.34,3.37,18.75,12.40,3.75,4.09,5.40,2.76,8.18,6.86,8.34,4.17,
5.15.15,,4.45,3.46,,5.32,5.44,2.88,29.79,11.58,3.27,3.55,4.58,2.39,6.99,5.84,6.97,3.48,
4.2.1,,,4.05,,,,,,,95.95,,,,,,,,
4.2.3,,,7.56,,,,,,,92.44,,,,,,,,
4.2.5,,,5.17,,,,,,,94.83,,,,,,,,
4.2.10,,,7.48,,,,,,,92.52,,,,,,,,
4.2.15,,,7.21,,,,,,,92.79,,,,,,,,
4.5.1,,,3.53,,,,3.14,2.85,,83.61,,,,,,6.87,,
4.5.3,,,6.00,,,,4.41,5.97,,73.29,,,,,,10.34,,
4.5.5,,,4.48,,,,4.00,3.65,,82.06,,,,,,5.81,,
4.5.10,,,6.10,,,,5.48,5.02,,75.45,,,,,,7.94,,
4.5.15,,,5.92,,,,5.33,4.90,,76.14,,,,,,7.70,,
2.2.1,,,,15.92,,,,,,,,,,,,84.08,,
2.2.3,,,,9.91,,,,,,,,,,,,90.09,,
2.2.5,,,,12.04,,,,,,,,,,,,87.96,,
2.2.10,,,,10.64,,,,,,,,,,,,89.36,,
2.2.15,,,,10.53,,,,,,,,,,,,89.47,,
2.5.1,,,,9.15,,,,17.77,,,,,11.80,,,48.33,12.95,
2.5.3,,,,7.27,,,,5.64,,,,,7.27,,,66.15,13.67,
2.5.5,,,,8.58,,,,11.12,,,,,9.45,,,62.70,8.15,
2.5.10,,,,7.90,,,,6.87,,,,,8.90,,,66.31,10.03,
2.5.15,,,,7.42,,,,6.54,,,,,8.78,,,63.05,14.20,
2.10.1,,,,5.30,,,7.00,10.29,10.00,,,9.51,6.84,8.41,7.14,28.00,7.50,
2.10.3,,,,5.08,,,4.37,3.94,7.95,,,5.96,5.08,6.30,5.58,46.19,9.54,
2.10.5,,,,5.32,,,5.52,6.90,10.12,,,5.95,5.86,8.87,7.49,38.91,5.06,
2.10.10,,,,5.68,,,3.98,4.94,5.41,,,4.28,6.40,7.70,6.76,47.65,7.21,
2.10.15,,,,5.29,,,3.84,4.67,6.75,,,5.47,6.26,7.44,5.20,44.95,10.13,
3.5.1,,,,,,5.82,19.34,,,,,39.89,,,13.68,,21.27,
3.5.3,,,,,,20.00,20.00,,,,,20.00,,,20.00,,20.00,
3.5.5,,,,,,8.76,14.69,,,,,51.70,,,11.00,,13.85,
3.5.10,,,,,,13.57,13.72,,,,,42.46,,,16.03,,14.22,
3.5.15,,,,,,13.99,17.95,,,,,33.97,,,19.46,,14.63,
5.2.1,,,,,,,,50.00,,50.00,,,,,,,,
5.2.3,,,,,,,,82.50,,17.50,,,,,,,,
5.2.5,,,,,,,,87.45,,12.55,,,,,,,,
5.2.10,,,,,,,,83.33,,16.67,,,,,,,,
5.2.15,,,,,,,,90.10,,9.90,,,,,,,,
5.5.1,,,,,,,,20.56,19.87,20.56,,,19.60,19.41,,,,
5.5.3,,,,,,,,65.16,4.34,13.82,,,10.02,6.65,,,,
5.5.5,,,,,,,,53.05,16.70,7.61,,,5.65,16.99,,,,
5.5.10,,,,,,,,40.91,27.05,8.18,,,6.02,17.83,,,,
5.5.15,,,,,,,,55.13,21.44,6.06,,,4.43,12.94,,,,
3.2.1,,,,,,,,,,,,74.47,,,25.53,,,
3.2.3,,,,,,,,,,,,50.00,,,50.00,,,
3.2.5,,,,,,,,,,,,82.46,,,17.54,,,
3.2.10,,,,,,,,,,,,72.59,,,27.41,,,
3.2.15,,,,,,,,,,,,63.58,,,36.42,,,
